wallet,volume
0x4eea263c895f2602f3e7731916d7946a3929f117,2270532.3435
0xb50c19d229420071df3dd7d249dabd57927d4aa4,2264377.4849429997
0x7282b3f51c242d83c226473bfe0ae73d938dfdeb,2186834.01501102
0xbe47f9b81db79e41008ba6c4b60299f1a7cfb7aa,2087984.29
0x1f1fb6553e2e3a60de426dc838a2cfb4411ac85a,2075000.0
0xad146674df78daabe8e8b37ac49b9a70ea97a950,2047797.648345
0xf69f3535d6a76876735c834667c4f6b888974283,2014583.3699999999
0x6ba313547b1fc11fce019042c3f6389ab2a82b2f,2001000.0
0x7aba2c394e9defbeb32462c492cc91f87c132a1f,1996822.0
0xb855ae84240be2408d3008979e8e6a0d006d4242,1963201.951181
0xdea1c2b8109252b4f677f060e297ac41b6ca746c,1907495.4185490222
0x6776f457da19e33584e5d5911ff89d8c89684867,1879565.04
0x28b3455109c50161a36ad111e6fdc7eead0da2d8,1814188.2566150236
0x96ace70af5e89992d380eac613870414af2ef6ff,1800300.0
0x78cb9a089bfadfad1e0c638ed84b35fe3bc70763,1799995.8
0xf3a96c88508f1c2d495645ecf84f547a7bcee375,1761437.9188399692
0x3a9786db0d52f25f494977197551ec29e2812b07,1567415.9381590001
0x7033505c9ec9390e0fb2f18be21d7325f8f53002,1513055.45
0x417357d61d98fee2359dcca692080f0243bc1dd1,1506627.7499999993
0x5db364dcb449a9125ed7824d69a74d38a15fbd8a,1500812.1203840002
0xe09ea6c22cd136fb53a10d8f2afaba74e7d4135b,1480000.0
0xfda3a1058bf2fbdffece19e4afa96c5fde648658,1457000.0
0x7f49170585af119dd13418a4b47301f16457a180,1444104.9992619762
0x6fd1bb2670d6d0579684ea9421529bb81fef1503,1393105.0
0x67b8f6e983ca48bc7991ea8c5c8ad7c5b0c686ce,1383388.266518
0x664238540528cb1c7ffec8d3988934c4f079f757,1371390.332382
0x8089c505332db5d95fc323a43e6259c326e9f77b,1367231.338841
0x5686463d61e0304d35fce2721134889b108bb05b,1332000.0
0x86cfd5ef1af60824b69ffd100233f05af909e629,1306133.018469032
0x25bb76c782e9f4c3003b84761962d75d4cd78fbe,1199990.0
0xbdef0c4147a2a37b1c27d54187bd1d15bdbb0268,1182608.377824
0x91924f1486b9c5b4c2f4e494fe3162225fa2cd94,1180000.0
0x3db9796c902ff37e44b1c4fc24bde6d7eec4e881,1179173.238684
0xb4875c44fa2b00291637793196f077b197daaa87,1161311.711059
0x9882f467b1bf666b5e95f30c502989731e530592,1149811.628192
0xeb01222b450b4e19e4ad2b1c39a79ffdca66d131,1118049.0
0xa25eadb8589c6420424b97d3f3df8eaac9b86bad,1105835.37
0x6a481b4301bc217cc0749e3920173bd3b023b645,1000000.0
0xa1e6c1d76cb72aab67ea174fc3902a6de37880db,1000000.0
0x0c91fdf87e6f72cc1247a2067d4294361230c7df,987679.13708
0xb7426639b18214840fece536d1e083d59f91c1c1,916119.4154100002
0x7c462998f0983cfa54af9875406bbb1d899edd3a,902086.3687199755
0xe5afccc7bf2d82dfadf2c3ec97cc9fd35914c9c7,900000.0
0x7f8947b72cb6ae448d6bb63b2859b6fa1a2e716d,899792.7660490234
0x82c174219401b5c63fca543ff8e43c9af2160c44,897076.0
0x97814b6897aea7f39c735e0aff70f4cecb54a18e,895021.1
0xc5f64062384c04e64398da8317ebc2ef5eeed423,839371.442162
0xc2a1e8d43ec11155588bd6064208c5f62e9d487e,821967.25
0x27a12ef68da70d615d12dd1b525caacfe941d919,793270.068989
0x1a9756cbdc0ae533eacd7bf4936df83408d308b8,656100.0
0xc480b1a0dce82fd8b67fd38ab4530fa58b10e1e2,621313.0
0xf0bfff7045dfeb4f6e69350c1cf8ff1a7de0d7da,601995.9924
0x9260dbad912d74f3fdb09845d4218e80c27c8468,577138.59682
0x645c43aec13a4b055f4decc05b168b70d8dc9d84,567232.0
0x9984508270b2d7afc093668e918fe58d6bf1f717,564143.397565
0xa612212e50edbb810caf4b176582100dff32095e,520002.780773
0x060ecf0075d196025e8777cd38687bb7dbe34c53,511186.2714530238
0xa96f76b8ca93676ef605d901df5308360a4468af,502100.0
